,Data.ID,Location,Level,Nation.code,State.code,County.code,Crop,Qualifier,Crop.name.in.original.data,Plant.start,Plant.start.date,Plant.end,Plant.end.date,Plant.median,Plant.range,Harvest.start,Harvest.start.date,Harvest.end,Harvest.end.date,Harvest.median,Harvest.range,Source,Notes,X,full.crop.name,location.code,tot.days,lat.avg,lon.avg,harvested.area,tmin.day.avg,temp.average,precip.average,temp.min,precip.min,temp.max,precip.max,temp.min.month,precip.min.month,temp.max.month,precip.max.month,temp.at.planting,precip.at.planting,sunfrac.at.planting,daylength.at.planting,dsw.at.planting,precip.over.pet.min,precip.over.pet.min.day,precip.over.pet.max,precip.over.pet.max.day,precip.over.pet.at.planting,apr.to.sept.temp.anomaly,apr.to.sept.precip.frac,gdd.base.0.between.plant.and.harvest,gdd.base.4.between.plant.and.harvest,gdd.base.5.between.plant.and.harvest,gdd.base.8.between.plant.and.harvest,gdd.base.10.between.plant.and.harvest,gdd.base.0,gdd.base.4,gdd.base.5,gdd.base.8,gdd.base.10,gdd.base.0.from.plant.until.cold,gdd.base.4.from.plant.until.cold,gdd.base.5.from.plant.until.cold,gdd.base.8.from.plant.until.cold,gdd.base.10.from.plant.until.cold,ndays.growing.season.below.0,ndays.growing.season.below.5,ndays.growing.season.below.10,ndays.growing.season.below.12,ndays.growing.season.below.15,ndays.growing.season.below.17,ndays.below.0,ndays.below.5,ndays.below.10,ndays.below.12,ndays.below.15,ndays.below.17,LGP,LGP.T,LGP.P,LGP.tmin5.tmax100,LGP.T.tmin5.tmax100,LGP.P.tmin5.tmax100,temp.growing.season,precip.growing.season,ndays.since.snowfrac_0.5,ndays.since.snowfrac_0.1,ndays.since.snowfrac_0.05,ndays.since.snowfrac_0,climate.category,misclassified,climate.category.string
91,113,Chile,N,219,NA,NA,Barley,Winter,Barley,162,11-Jun,293,20-Oct,227.5,132,344,10-Dec,50,19-Feb,14.5,72,GIEWS,Not sure if this should really be classified as Winter,NA,Barley.Winter,219,152,-38.54777101,-72.33505623,157.2467913,-7.279937094,11.38262109,127.4916536,6.6874882,41.30039213,16.8161557,254.8627613,7,1,1,6,7.299183037,200.2578154,0.449971498,11.55249692,110.2068778,0.227208974,16,9.891898364,168,4.510149687,-3.042315416,1.516564258,1833.518402,1225.518402,1073.518402,622.673402,384.7689519,4146.025869,2686.025869,2321.025869,1304.775841,824.6698508,NA,NA,NA,0,0,0,0,48,76,115,152,0,0,154,206,282,365,97,211,251,251,365,251,12.06262106,92.83250617,NA,NA,NA,NA,2,FALSE,2
90,112,Chile,N,219,NA,NA,Wheat,Winter,Wheat,101,11-Apr,232,20-Aug,166.5,132,344,10-Dec,50,19-Feb,14.5,72,GIEWS,,NA,Wheat.Winter,219,213,-37.58743238,-72.02427271,2763.556501,-7.036835253,11.87168183,99.71881575,7.038211821,30.47691232,17.41772604,209.5850362,7,1,1,6,7.327512941,209.4513573,0.391150048,10.55021841,73.78557119,0.165548854,16,7.63558867,169,7.628782723,-3.127175368,1.545668747,2360.864669,1508.864669,1295.864669,701.1060624,447.183609,4324.393498,2864.393498,2499.393498,1452.347972,945.3289192,NA,NA,NA,0,0,0,0,102,129,168,204,0,0,142,194,266,337,216,365,216,216,365,216,11.08387168,104.8564749,NA,NA,NA,NA,2,TRUE,2X
20,22,Argentina,N,226,NA,NA,Barley,Winter,Barley,163,12-Jun,263,20-Sep,213,101,314,10-Nov,19,19-Jan,349,71,GIEWS,Not sure if this should really be classified as Winter,NA,Barley.Winter,226,136,-36.76298166,-61.39265338,2564.237188,-8.374585383,15.33231921,67.24809947,8.397460434,32.83519257,22.84058829,105.7552131,7,8,1,3,9.077399217,34.15935514,0.512537688,11.19501076,107.0877606,0.439736194,363,1.182617045,158,0.770149597,-4.386798074,0.693311038,1979.672972,1435.672972,1299.672972,891.6729724,629.405311,5584.417066,4124.417066,3759.417066,2664.417066,2023.587379,NA,NA,NA,NA,0,0,0,19,45,76,94,0,0,80,125,182,215,194,285,274,274,365,274,14.55641891,65.95886923,NA,NA,NA,NA,2,TRUE,2X
1292,1566,Victoria,S,202,252,NA,Maize,,Corn,274,1-Oct,334,30-Nov,304,61,121,1-May,181,30-Jun,151,61,FAS Australia,,NA,Maize,252,212,-36.728123,144.4514342,10.68363135,-3.900702444,14.68373962,47.56586128,8.111310712,31.70886666,21.53324883,62.02683175,7,2,2,8,15.44599039,50.31206848,0.54842702,14.51402016,239.76404,0.193387552,40,1.643673976,180,0.374972864,-3.934301281,1.134002867,3740.326218,2892.326218,2680.326218,2044.326218,1620.326218,5347.142633,3887.142633,3522.142633,2427.142633,1791.723328,NA,NA,NA,NA,1620.524629,0,0,0,19,45,79,0,0,84,133,193,232,105,282,188,188,365,188,17.6430482,41.82643212,NA,NA,NA,NA,2,FALSE,2
1296,1570,Victoria,S,202,252,NA,Millet,,Broom Millet,274,1-Oct,345,11-Dec,309.5,72,60,1-Mar,120,30-Apr,90,61,FAS Australia,,NA,Millet,252,145.5,-36.49794917,144.1503485,39.18102096,-3.788919931,14.89645735,46.72914635,8.221345086,29.97664828,21.84945006,62.28462196,7,2,2,8,16.20229695,46.61561613,0.561211798,14.70028676,249.4413845,0.18032432,45,1.626614966,183,0.327482385,-4.017870274,1.151052566,2892.396935,2308.396935,2162.396935,1724.396935,1432.396935,5424.604211,3964.604211,3599.604211,2504.604211,1860.190463,NA,NA,NA,NA,1643.743532,0,0,0,0,0,9,0,0,81,130,189,227,103,285,183,183,365,183,19.81093791,36.57411424,NA,NA,NA,NA,2,FALSE,2
1293,1567,Victoria,S,202,252,NA,Oats,Winter,Oats,91,1-Apr,181,30-Jun,136,91,305,1-Nov,31,31-Jan,350.5,92,FAS Australia,,NA,Oats.Winter,252,214.5,-36.10757635,142.8894329,1103.448956,-3.320490311,15.22815615,38.14273879,8.614945457,25.14514924,22.11909453,52.07267187,7,2,2,8,11.92232065,47.48022308,0.474371371,11.10982149,101.6135906,0.146041968,30,1.290429254,185,1.033713112,-4.033585994,1.163704588,2703.927755,1843.927755,1628.927755,983.9277548,613.060562,5545.802754,4085.802754,3720.802754,2625.802754,1954.935561,NA,NA,NA,NA,20.79312209,0,0,71,124,156,178,0,0,71,125,183,221,84,293,156,156,365,156,12.57640816,43.26178698,NA,NA,NA,NA,2,TRUE,2X
94,116,Chile,N,219,NA,NA,Sugarbeets,,Sugarbeet,228,16-Aug,293,20-Oct,260.5,66,70,11-Mar,228,16-Aug,149,159,GIEWS,,NA,Sugarbeets,219,253.5,-36.07056003,-71.88182074,454.1470752,-6.655061386,12.30116457,88.32215855,7.455621879,23.47182796,17.86300427,193.6184669,7,1,1,6,9.810452811,82.73413972,0.535640005,12.79615359,175.4904559,0.124509576,16,6.344628866,169,1.013658952,-3.138788178,1.584912929,3575.988616,2559.988616,2305.988616,1543.988616,1046.351587,4481.086221,3021.086221,2656.086221,1580.853451,1046.359918,NA,NA,NA,1549.14856,0,0,0,20,72,143,201,0,0,130,184,254,312,68,234,199,199,365,199,14.07869534,57.75667931,NA,NA,NA,NA,2,FALSE,2
1290,1564,Victoria,S,202,252,NA,Wheat,,Wheat,121,1-May,212,31-Jul,166.5,92,335,1-Dec,31,31-Jan,0.5,62,FAS Australia,,NA,Wheat,252,199,-35.92796099,142.7551561,10238.12026,-3.190353321,15.42336424,35.84008527,8.726796819,24.10484705,22.36522211,48.74056217,7,2,2,8,9.355302331,37.48604787,0.459050298,10.67766425,84.87105927,0.138161554,29,1.182357281,186,1.100062804,-4.094863232,1.159755345,2719.118201,1923.118201,1724.118201,1127.118201,777.6222047,5616.965948,4156.965948,3791.965948,2696.965948,2018.043775,NA,NA,NA,NA,0,0,0,61,91,123,145,0,0,69,121,179,216,147,365,147,147,365,147,13.66391056,39.42029527,NA,NA,NA,NA,2,TRUE,2X
1291,1565,Victoria,S,202,252,NA,Barley,Winter,Barley,121,1-May,212,31-Jul,166.5,92,335,1-Dec,31,31-Jan,0.5,62,FAS Australia,"Figure only shows harvest from Jan 1 - Jan 31, but the triangle is already at 50% by Jan 1, so I'm assuming that harvest really stars Dec 1 (and this is consistent with the fact that barley harvest spreads over at least 2 months in all other states)",NA,Barley.Winter,252,199,-35.89624784,142.6246504,6059.200987,-3.103449102,15.46964823,35.02627232,8.814478747,23.77540046,22.36622935,47.49041408,7,2,2,8,9.429279009,36.41995297,0.460403988,10.68005229,85.09534147,0.135062896,25,1.142677659,186,1.063290326,-4.07384677,1.156689539,2730.7758,1934.7758,1735.7758,1138.7758,784.4708024,5633.939195,4173.939195,3808.939195,2713.939195,2029.687245,NA,NA,NA,NA,0,0,0,59,90,123,144,0,0,66,120,178,216,78,299,144,144,365,144,13.72249146,38.53445764,NA,NA,NA,NA,2,TRUE,2X
93,115,Chile,N,219,NA,NA,Rice,,Rice,284,11-Oct,354,20-Dec,319,71,71,12-Mar,131,11-May,101,61,GIEWS,,NA,Rice,219,147,-35.21665272,-71.59081557,252.9860648,-6.892714038,13.09725841,71.13861517,7.792405846,10.07810048,19.25719592,181.1369087,7,2,1,6,15.2088478,26.64703463,0.676813952,14.91156311,288.1958013,0.051501496,16,5.739966955,170,0.165904976,-3.45677832,1.71189676,2530.640506,1942.640506,1795.640506,1354.640506,1060.640506,4770.953192,3310.953192,2945.953192,1854.145915,1284.067201,NA,NA,NA,1516.549986,1119.239812,0,0,0,0,17,60,0,0,116,165,232,278,14,199,175,175,365,175,17.21524154,17.6518568,NA,NA,NA,NA,2,FALSE,2
